,ETH,ADA,AR,ATOM,BTC,DOT,INJ,LINK,MATIC,RUNE,SOL,HNT,FTM,YGG,MC,BAT
invested,1920.273611902312,422.4156798493008,58.31230000000001,254.52156799999997,1243.84919999373,722.8013,147.21009999999998,48.8977679884846,115.75900000000001,227.99660000000003,583.1514579999999,125.9699,151.2772,73.749,49.9875,29.4177
ammount_bought,0.58060411,187.0641,1.1091,8.62639,0.024960000000000003,23.447579999999995,15.694799999999999,1.81711,74.47019999999999,28.691499999999994,4.4269300000000005,5.37,71.0,15.1,23.25,39.0
ammount_now,0.58060411,187.0641,1.1091,8.62639,0.024960000000000003,23.447579999999995,15.694799999999999,1.81711,74.47019999999999,28.691499999999994,4.4269300000000005,5.37,71.0,15.1,23.25,39.0
interest_earned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
growth_interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
price_today,2808.48,1.003,28.99,27.14,40195.92,18.06,5.355,15.29,1.612,4.092,90.96,25.12,1.8837,2.99,2.64,0.7597
investment_now,1630.6150308528,187.62529229999998,32.152809,234.12022460000003,1003.2901632,423.46329479999986,84.045654,27.783611899999997,120.0459624,117.40561799999996,402.67355280000004,134.89440000000002,133.74269999999999,45.149,61.38,29.628300000000003
gain_fiat,-289.6585810495121,-234.7903875493008,-26.15949100000001,-20.401343399999945,-240.55903679373,-299.3380052000001,-63.164445999999984,-21.114156088484606,4.286962399999979,-110.59098200000007,-180.4779051999999,8.924500000000023,-17.53450000000001,-28.599999999999994,11.392500000000005,0.210600000000003
growth_fiat,-0.15084234832689436,-0.5558278225681954,-0.44861017315386303,-0.08015565659252873,-0.19339887567957803,-0.41413595299289047,-0.4290768500259153,-0.4318020424461292,0.03703351272903168,-0.48505539994894686,-0.3094871884895466,0.07084628947073883,-0.11590973391892505,-0.38780186849991183,0.22790697674418617,0.007158955322815958
actual_allocation,0.34931653313536215,0.04019380135387792,0.006887896626691508,0.05015412200105436,0.21492862196575277,0.09071591224830748,0.0180045785945073,0.005951910661470232,0.02571670112750944,0.025151076541301,0.08626225490870815,0.02889758971664265,0.028650868176855537,0.009671989927800552,0.013149056275186557,0.00634708673897214
default_allocation,0.3,0.03,0.01,0.05,0.2,0.1,0.02,0.01,0.03,0.03,0.1,0.03,0.03,0.01,0.01,0.01
next_deposit,-130.61503085279992,-37.625292299999984,17.847191000000002,15.879775399999971,-3.290163200000052,76.53670520000014,15.954346000000001,22.216388100000003,29.954037600000007,32.59438200000004,97.32644719999996,15.105599999999981,16.257300000000015,4.850999999999999,-11.380000000000003,20.371699999999997
previous_deposit,-430.6150308527999,-67.62529229999998,7.847191000000002,-34.12022460000003,-203.29016320000005,-23.463294799999858,-4.045653999999999,12.216388100000003,-0.04596239999999341,2.5943820000000386,-2.6735528000000386,-14.894400000000019,-13.742699999999985,-5.149000000000001,-21.380000000000003,10.371699999999997
deposit_impact,-0.026123006170559984,-0.007525058459999997,0.0035694382000000004,0.0031759550799999943,-0.0006580326400000104,0.015307341040000028,0.0031908692000000003,0.004443277620000001,0.005990807520000001,0.006518876400000008,0.01946528943999999,0.003021119999999996,0.003251460000000003,0.0009701999999999998,-0.0022760000000000007,0.004074339999999999
bought_prices_sum,40751.63527299999,11.036053756000001,215.45,192.28410732,506447.37411000003,307.42,96.781,72.13214414000001,11.816,87.595,1586.1045000000004,142.07,11.2661,8.589,2.15,0.7543
bought_prices_times,12.0,5.0,4.0,7.0,10.0,10.0,9.0,3.0,7.0,10.0,10.0,5.0,5.0,2.0,1.0,1.0
pair_name,ETHUSDT,ADAUSDT,ARUSDT,ATOMUSDT,BTCUSDT,DOTUSDT,INJUSDT,LINKUSDT,MATICUSDT,RUNEUSDT,SOLUSDT,HNTUSDT,FTMUSDT,YGGUSDT,MCUSDT,BATUSDT
